0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.2614,3.132,0.03716,302.4,11.26,9.904,73.07,0.0991,18.06,24.39,0.3486,0.4311,0.1301,27.48,390.2,0.1307
0.2293,1.438,0.005051,461.4,12.85,12.18,81.6,0.01852,14.08,16.47,0.04116,0.2113,0.1001,15.82,513.1,0.01123
0.3681,2.388,0.02421,257.8,10.57,9.295,67.84,0.07262,13.9,17.84,0.09996,0.3538,0.185,19.63,326.6,0.03332
0.1902,1.377,0.02583,372.7,11.35,11.08,72.01,0.04306,14.71,16.82,0.03938,0.2073,0.1216,19.08,396.5,0.02363
0.271,2.652,0.06556,559.2,14.08,13.53,91.36,0.07407,10.94,12.49,0.08539,0.4101,0.1451,32.65,605.5,0.06877
0.21,1.558,0.02733,616.5,15.53,14.11,98.4,0.0589,12.88,18.0,0.05307,0.2571,0.1281,23.92,749.9,0.01765
0.2812,2.547,0.0795,1027.0,21.84,18.22,140.9,0.1776,18.87,25.0,0.3853,0.4041,0.1434,48.9,1485.0,0.113
0.2282,2.63,0.04335,701.9,17.58,15.05,113.8,0.112,19.07,28.06,0.2866,0.386,0.1246,38.49,967.0,0.07486
0.3216,2.819,0.06527,928.3,21.58,17.19,140.5,0.1984,22.07,29.33,0.3889,0.4203,0.1558,45.42,1436.0,0.09061
0.3414,8.419,0.08624,678.1,18.55,14.95,121.4,0.1667,17.57,21.43,0.3355,1.296,0.1411,101.9,971.4,0.1539
0.363,1.933,0.05602,578.9,15.75,13.86,104.4,0.1654,16.93,26.93,0.4636,0.2563,0.146,22.69,750.1,0.09901
0.2383,2.041,0.03068,334.2,11.16,10.51,72.62,0.06136,20.19,22.75,0.1295,0.3336,0.13,19.91,374.4,0.06476
0.3029,3.195,0.05259,684.5,19.07,14.68,123.4,0.1609,20.13,30.88,0.2914,0.4727,0.1464,45.4,1138.0,0.07395
0.3487,1.109,0.01148,418.7,12.61,11.7,80.92,0.05741,19.11,26.55,0.07915,0.1601,0.1223,11.28,483.1,0.01583
0.3147,2.41,0.09601,530.2,16.31,13.11,106.4,0.1986,15.56,22.4,0.6376,0.3908,0.1862,34.66,827.2,0.2071
0.3103,3.27,0.08488,813.7,19.28,16.27,129.8,0.1583,20.71,30.38,0.3597,0.4375,0.159,44.41,1121.0,0.1478
0.3313,2.597,0.0209,509.2,14.45,12.87,95.14,0.06384,19.54,24.38,0.07127,0.3665,0.1214,26.5,626.9,0.01797
0.2298,2.602,0.02054,469.1,13.18,12.34,84.11,0.04793,14.95,16.85,0.04921,0.3833,0.1048,30.15,533.1,0.02109
0.2502,1.976,0.02416,293.2,11.24,9.847,74.32,0.06528,15.68,22.99,0.08434,0.2498,0.1419,15.24,376.5,0.0233
0.2928,3.088,0.07488,951.6,20.42,17.54,139.5,0.1939,19.32,25.84,0.3508,0.3971,0.1381,40.73,1239.0,0.1036
0.2826,1.445,0.02036,496.4,14.2,12.62,90.67,0.118,23.97,31.31,0.3911,0.2449,0.1227,18.51,624.0,0.05438
0.3604,1.546,0.01615,512.2,13.9,12.87,89.27,0.0578,16.21,23.64,0.1992,0.2345,0.1256,18.24,597.5,0.039
0.2549,3.654,0.09431,1214.0,23.73,19.89,160.5,0.1613,20.26,25.23,0.4185,0.5079,0.1417,59.7,1646.0,0.1411
0.2694,1.183,0.0177,458.7,13.34,12.18,84.58,0.07431,20.52,32.84,0.1145,0.1924,0.1123,14.68,547.8,0.02383
0.2409,2.884,0.0,465.4,13.45,12.27,85.08,0.0,29.97,38.05,0.0,0.4455,0.09422,35.13,558.9,0.0
0.2563,2.312,0.0351,536.9,14.8,13.14,100.9,0.1181,20.74,25.46,0.4504,0.3152,0.1351,27.4,689.1,0.1085
0.3313,3.705,0.07944,929.4,23.32,17.2,151.6,0.1899,24.52,33.82,0.6566,0.5907,0.1585,69.47,1681.0,0.1692
0.2615,1.208,0.01216,329.6,11.52,10.44,73.47,0.04464,15.46,19.8,0.02639,0.1913,0.1341,11.86,395.4,0.006643
0.2827,4.795,0.063,656.1,16.46,14.69,114.1,0.1108,13.98,18.34,0.3219,0.5462,0.1312,49.45,809.2,0.145
0.4027,3.498,0.08751,732.4,20.27,15.3,149.3,0.2024,25.27,36.71,0.6335,0.439,0.1641,43.5,1269.0,0.1683
0.2564,2.346,0.02548,504.1,14.19,12.76,92.04,0.08411,13.37,16.4,0.1769,0.3265,0.1194,25.18,618.8,0.04052
0.3105,1.094,0.005917,201.9,8.964,8.196,57.26,0.02564,16.84,21.96,0.0688,0.1563,0.1297,8.205,242.2,0.01588
0.2736,1.592,0.02864,541.8,14.24,13.28,96.59,0.09173,13.72,17.37,0.2866,0.1833,0.1166,15.26,623.7,0.05077
0.3596,2.465,0.0295,514.0,14.42,12.98,99.21,0.09858,19.35,21.95,0.3439,0.2684,0.1288,20.65,634.3,0.07107
0.2651,1.204,0.003261,537.3,14.41,13.2,92.0,0.025,15.82,20.45,0.0112,0.1903,0.1128,15.5,636.9,0.001461
0.306,1.491,0.02594,391.2,12.47,11.34,79.15,0.08542,18.61,23.03,0.1624,0.243,0.1483,18.19,478.6,0.04302
0.2767,0.873,0.01105,541.6,13.94,13.2,88.28,0.0497,17.43,27.82,0.2298,0.163,0.1101,13.56,602.0,0.04336
0.2305,1.955,0.02386,432.0,12.79,11.87,83.51,0.0875,21.54,28.18,0.3218,0.256,0.09457,20.24,507.2,0.08777
0.2506,2.044,0.02456,546.4,15.14,13.27,98.84,0.09678,17.02,23.6,0.1786,0.2927,0.1276,24.68,708.8,0.03554
0.2683,1.534,0.02847,758.6,17.91,15.61,115.9,0.08568,19.38,31.67,0.226,0.2298,0.1084,22.18,988.6,0.04209
0.2407,1.477,0.01499,507.9,13.87,12.77,88.1,0.06498,29.43,36.0,0.08653,0.2409,0.1234,18.76,594.7,0.01997
0.1934,2.132,0.007937,294.5,10.92,9.787,68.81,0.02381,19.94,26.29,0.02049,0.335,0.1316,20.05,366.1,0.006829
0.2849,1.059,0.003125,395.7,12.08,11.32,79.82,0.02083,27.08,33.75,0.1089,0.121,0.09203,8.605,452.3,0.01633
0.2926,1.354,0.01924,230.9,9.628,8.726,64.48,0.105,15.83,19.62,0.2456,0.1665,0.1724,8.966,284.4,0.04132
0.2208,2.475,0.01502,403.1,12.68,11.46,82.69,0.05509,18.16,21.61,0.1226,0.3278,0.1144,22.93,489.8,0.03344
0.228,2.108,0.01149,477.3,13.19,12.46,83.24,0.0268,12.83,16.36,0.01674,0.3276,0.09439,24.6,534.0,0.007173
0.2749,4.115,0.0974,1206.0,25.28,19.73,159.8,0.2507,19.82,25.59,0.8489,0.7661,0.171,92.81,1933.0,0.2417
0.3267,1.954,0.02173,396.0,12.36,11.37,79.29,0.06203,18.89,26.14,0.07529,0.2656,0.1118,17.49,459.3,0.02399
0.2744,1.804,0.04812,575.3,15.14,13.66,101.4,0.1407,19.13,25.5,0.366,0.2244,0.1147,19.36,708.8,0.09657
0.3222,9.807,0.2012,1761.0,26.02,24.25,180.9,0.2248,20.2,23.99,0.5803,1.509,0.1696,233.0,2073.0,0.4268
0.277,2.464,0.09052,805.1,18.55,16.24,126.9,0.1732,18.77,25.09,0.5026,0.2873,0.1365,28.09,1031.0,0.1948
0.2458,2.115,0.0,360.5,11.66,10.86,74.08,0.0,21.48,24.77,0.0,0.3163,0.1001,20.67,412.3,0.0
0.2514,1.171,0.01963,448.6,13.14,12.06,84.08,0.07025,12.74,18.41,0.08636,0.1822,0.1275,13.25,532.8,0.01972
0.3053,2.677,0.04223,641.2,16.67,14.42,111.4,0.1414,16.54,21.51,0.3755,0.3491,0.1294,32.14,862.1,0.08007
0.2191,1.778,0.02978,447.8,12.57,12.05,87.36,0.1092,22.72,28.71,0.2912,0.1194,0.08799,9.549,488.4,0.07943
0.3168,3.926,0.03738,419.8,13.32,11.75,88.91,0.07909,20.18,26.21,0.1956,0.5018,0.1358,38.34,543.9,0.06843
0.3003,9.424,0.08481,803.1,23.17,15.5,157.1,0.2134,21.08,27.65,0.4211,1.37,0.1517,176.5,1748.0,0.1522
0.2268,1.955,0.02822,464.5,13.58,12.34,87.36,0.08194,22.22,28.68,0.1688,0.2949,0.1452,21.55,553.0,0.0537
0.3101,3.717,0.02763,427.3,13.31,11.74,84.7,0.0829,14.02,18.26,0.06735,0.5619,0.1036,37.83,533.7,0.02245
0.2226,1.437,0.02738,321.4,10.84,10.29,69.57,0.09127,27.61,34.91,0.2,0.2199,0.1384,14.46,357.6,0.05999
0.3613,4.585,0.1279,1203.0,23.57,19.69,152.5,0.243,21.25,25.53,0.4504,0.7456,0.1444,94.03,1709.0,0.1974
0.2329,1.628,0.02594,402.9,12.26,11.54,78.78,0.06918,14.44,19.68,0.1797,0.2784,0.1345,20.86,457.8,0.06737
0.3693,1.334,0.05252,531.5,16.23,13.17,105.5,0.1607,21.81,29.89,0.3728,0.1938,0.1503,14.49,740.7,0.08259
0.292,4.037,0.08886,1155.0,21.65,19.4,144.9,0.1564,23.5,30.53,0.3458,0.5243,0.1463,60.41,1417.0,0.2049
0.2593,6.462,0.141,1747.0,30.67,23.51,202.4,0.2089,24.27,30.73,0.4819,1.009,0.1515,164.1,2906.0,0.2308
0.2741,1.036,0.01473,552.4,14.73,13.4,93.76,0.06987,16.95,21.7,0.1364,0.1584,0.1213,13.22,663.5,0.02181
0.2572,1.742,0.03239,420.3,13.01,11.71,84.42,0.1099,17.19,21.39,0.1521,0.2451,0.1323,17.86,521.5,0.03809
0.3196,2.873,0.02645,519.4,14.16,13.0,90.82,0.06296,20.78,24.11,0.08112,0.4202,0.1297,34.78,616.7,0.03136
0.3387,1.101,0.02471,580.6,14.54,13.66,97.96,0.1054,15.15,19.64,0.2569,0.1402,0.1275,11.35,657.0,0.04249
0.2454,3.267,0.01406,278.6,12.02,9.436,75.79,0.05052,18.32,25.02,0.1144,0.5079,0.1333,30.48,439.6,0.0271
0.2909,7.029,0.09561,1290.0,23.24,20.58,158.3,0.192,22.14,27.84,0.3861,0.8601,0.1178,111.7,1656.0,0.164
0.2722,2.177,0.03027,668.6,16.51,14.74,107.4,0.1095,25.42,32.29,0.1611,0.3031,0.106,27.41,826.4,0.04105
0.2535,1.444,0.01393,428.0,13.3,11.84,85.22,0.06913,18.94,24.99,0.1471,0.2222,0.128,17.12,546.3,0.02669
0.3021,4.877,0.106,1033.0,20.6,18.22,135.1,0.1325,18.7,24.13,0.2623,0.8337,0.128,98.81,1321.0,0.1772
0.467,8.83,0.09961,1104.0,24.09,19.07,177.4,0.2493,24.81,33.17,0.7242,0.9811,0.1247,104.9,1651.0,0.2107
0.2806,1.373,0.0188,575.5,15.85,13.68,101.6,0.08704,16.33,20.2,0.1206,0.2047,0.1264,17.25,773.4,0.01752
0.3258,4.061,0.1242,713.3,17.73,15.32,119.8,0.2229,17.27,22.66,0.4429,0.6592,0.1765,59.46,928.8,0.2448
0.3169,1.994,0.02257,378.4,12.02,11.13,77.8,0.06413,22.44,28.26,0.1564,0.28,0.1087,17.85,436.6,0.04824
0.4432,3.909,0.09176,597.8,19.2,13.81,128.5,0.2013,23.75,41.85,0.4646,0.5648,0.2226,52.72,1153.0,0.1558
0.2434,4.277,0.02381,241.0,9.981,8.878,65.27,0.04762,15.49,17.7,0.09441,0.5381,0.1015,30.18,302.0,0.04721
0.2955,2.877,0.05588,394.1,11.86,11.26,78.27,0.09314,19.96,22.33,0.1546,0.4866,0.1028,34.68,437.6,0.09274
0.3063,3.18,0.074,1040.0,22.88,18.25,153.2,0.1932,19.98,27.66,0.3784,0.4467,0.1442,53.91,1606.0,0.1127
0.2597,2.363,0.05941,338.3,10.85,10.57,76.51,0.1465,20.22,22.82,0.603,0.1115,0.1143,7.228,351.9,0.228
0.3196,4.607,0.01967,289.7,11.21,9.742,71.79,0.04589,19.12,23.17,0.02085,0.6965,0.1398,43.52,380.9,0.008934
0.4264,2.11,0.08783,644.8,17.62,14.58,122.4,0.2701,21.53,33.21,0.5539,0.2545,0.1525,21.05,896.9,0.1425
0.301,6.051,0.06431,930.9,22.96,17.08,152.1,0.1555,27.15,34.49,0.2639,0.9291,0.16,115.2,1648.0,0.1007
0.2604,1.345,0.02639,426.0,12.45,11.74,81.25,0.1056,14.69,17.6,0.269,0.1924,0.1073,13.04,473.8,0.06726
0.3549,1.689,0.03088,512.2,14.48,12.9,97.17,0.1012,15.92,21.82,0.209,0.2143,0.1312,16.64,643.8,0.04894
0.2446,2.591,0.02142,561.0,14.8,13.59,97.66,0.06189,21.84,30.04,0.1453,0.338,0.1005,26.76,661.5,0.04072
0.3014,2.497,0.03821,481.9,14.97,12.47,96.05,0.1015,18.6,24.64,0.2671,0.3961,0.1426,30.29,677.9,0.08005
0.2741,7.561,0.1501,1482.0,27.66,22.01,195.0,0.2432,21.9,25.8,0.4756,1.008,0.1294,130.2,2227.0,0.2448
0.3308,2.369,0.02854,389.4,12.58,11.3,87.16,0.1218,18.19,27.96,0.7436,0.2428,0.1347,16.39,472.9,0.1548
0.3695,4.782,0.08795,1075.0,22.93,18.46,152.2,0.1642,18.52,27.68,0.3157,0.6997,0.1398,80.6,1603.0,0.1335
0.2227,2.41,0.02941,451.1,12.83,12.18,82.14,0.05882,17.84,20.92,0.0498,0.3661,0.114,24.44,495.2,0.0249
0.3227,1.102,0.05266,546.3,14.83,13.47,94.94,0.1335,14.06,18.32,0.1848,0.1588,0.1393,12.84,660.2,0.05786
0.4677,1.775,0.02307,857.6,19.18,16.69,127.3,0.08737,20.2,26.56,0.2477,0.2473,0.1009,22.95,1084.0,0.03649
0.39,1.897,0.0734,534.6,15.67,13.17,102.8,0.2088,18.66,27.95,0.5006,0.2871,0.1786,24.25,759.4,0.1226
0.2356,2.056,0.0207,602.9,16.41,13.9,104.4,0.0815,19.24,26.42,0.1673,0.3316,0.1064,28.41,830.5,0.02995
0.4601,8.589,0.1471,1001.0,25.38,17.99,184.6,0.2654,10.38,17.33,0.7119,1.095,0.1622,153.4,2019.0,0.3001
0.2572,5.203,0.09791,1261.0,23.69,20.13,155.0,0.1628,28.25,38.25,0.3215,0.7655,0.1166,99.04,1731.0,0.144
0.4724,3.534,0.06462,610.7,16.86,14.19,115.0,0.1772,23.81,34.85,0.3744,0.4207,0.1559,31.0,811.3,0.1115
0.2121,3.212,0.04391,485.8,13.37,12.56,89.02,0.09265,19.07,22.43,0.2388,0.3602,0.1096,27.49,547.4,0.103
0.3176,11.07,0.1118,1123.0,20.96,19.17,151.7,0.1767,24.8,29.94,0.3639,0.9555,0.1037,116.2,1332.0,0.2065
0.3105,1.218,0.0,288.5,10.62,9.738,66.53,0.0,11.97,14.1,0.0,0.1988,0.1234,12.26,342.9,0.0
0.2826,2.302,0.01201,336.1,11.54,10.49,74.22,0.03203,19.29,23.31,0.07987,0.355,0.1219,23.13,402.8,0.02995
0.3206,1.817,0.05814,1041.0,21.31,18.31,139.2,0.1571,18.58,26.36,0.3538,0.2577,0.1234,28.92,1410.0,0.08169
0.2841,5.216,0.05627,1138.0,22.32,19.0,148.2,0.1218,18.91,25.73,0.3207,0.6896,0.1021,81.23,1538.0,0.09271
0.259,1.263,0.007246,378.2,12.68,11.06,80.79,0.05556,14.83,20.35,0.2079,0.1855,0.112,12.98,496.7,0.02712
0.302,2.564,0.02218,333.6,12.13,10.48,81.41,0.0931,14.98,21.57,0.2939,0.3276,0.1327,20.77,440.4,0.06335
0.2382,1.614,0.034,504.8,14.04,12.86,92.8,0.1155,13.32,21.08,0.1791,0.2212,0.1547,16.57,599.5,0.038
0.4882,3.357,0.05596,982.0,20.58,17.95,129.2,0.1185,20.01,27.83,0.2249,0.5506,0.1072,54.04,1261.0,0.07293
0.2383,1.471,0.02864,502.5,13.46,12.78,85.67,0.05882,16.49,19.76,0.1039,0.2368,0.1296,18.33,554.9,0.03653
0.2455,1.471,0.02791,666.0,16.46,14.64,106.0,0.07828,16.85,25.44,0.2437,0.2204,0.1142,19.98,831.0,0.05192
0.2699,1.277,0.01111,340.9,10.94,10.57,69.35,0.02222,18.32,23.31,0.03986,0.1818,0.09794,13.12,366.3,0.01993
0.2806,2.155,0.03485,412.5,13.14,11.64,85.51,0.1218,18.33,29.26,0.2873,0.306,0.1688,20.62,521.7,0.0707
0.2556,2.204,0.02799,467.8,12.88,12.4,89.61,0.0737,17.68,22.91,0.2403,0.1767,0.145,15.43,515.8,0.07741
0.3218,1.874,0.02027,458.4,14.29,12.21,93.85,0.08829,18.02,24.04,0.2413,0.2527,0.1368,18.57,624.6,0.04392
0.2136,1.606,0.02652,606.5,14.91,14.02,96.53,0.08216,15.66,19.31,0.0626,0.2142,0.1034,19.25,688.9,0.02087
0.2747,1.848,0.02749,449.3,13.76,12.05,89.88,0.06548,14.63,20.7,0.305,0.2636,0.1494,19.87,582.6,0.06592
0.3706,3.854,0.1028,798.8,20.96,16.13,136.8,0.2073,20.68,31.48,0.4784,0.5692,0.1789,54.18,1315.0,0.1722
0.2258,2.224,0.03736,657.1,15.48,14.59,105.9,0.1105,22.68,27.27,0.3662,0.2254,0.1026,19.54,733.5,0.1029
0.2954,2.276,0.0378,684.5,16.41,15.0,114.2,0.1379,15.51,19.31,0.3402,0.2318,0.1136,19.88,808.2,0.06505
0.3301,1.355,0.03341,373.9,11.92,11.06,79.76,0.1075,14.96,19.9,0.2299,0.1601,0.1418,10.8,440.0,0.05397
0.2901,0.757,0.01108,476.5,13.2,12.42,83.85,0.04052,15.04,20.37,0.06243,0.1153,0.1037,9.006,543.4,0.01053
0.206,7.673,0.1389,1479.0,25.45,21.56,166.1,0.2216,22.39,26.4,0.4107,1.176,0.141,158.7,2027.0,0.2439
0.2157,2.569,0.02757,392.0,12.04,11.27,79.73,0.08272,15.5,18.93,0.3021,0.3305,0.1102,22.97,450.0,0.1007
0.2404,4.099,0.02377,449.9,13.6,12.04,87.24,0.05547,28.14,33.33,0.05524,0.6061,0.1041,44.96,567.6,0.02367
0.2663,2.829,0.02344,590.0,15.01,13.75,98.0,0.06106,23.77,26.34,0.1359,0.4347,0.09368,39.93,706.0,0.04697
0.3244,1.961,0.01313,417.2,12.44,11.6,81.39,0.04815,24.49,31.62,0.07239,0.2512,0.09545,18.21,476.5,0.01974
0.3057,2.275,0.005769,286.3,11.15,9.668,71.11,0.025,18.1,24.62,0.06409,0.3416,0.1388,20.98,380.2,0.01479
0.3444,5.574,0.1244,1088.0,23.15,18.63,160.5,0.1848,25.11,34.01,0.6133,0.8307,0.1491,105.0,1670.0,0.2319
0.2335,1.683,0.01238,572.3,15.5,13.59,98.91,0.05185,17.84,26.1,0.106,0.258,0.105,22.22,739.1,0.01997
0.2822,4.303,0.08632,1404.0,29.17,21.16,188.0,0.2009,23.04,35.59,0.3155,0.6917,0.1401,93.99,2615.0,0.1097
0.3379,3.797,0.08591,1169.0,25.7,19.45,163.1,0.1999,19.33,24.57,0.4317,0.5959,0.1497,71.0,1972.0,0.1379
0.3437,2.406,0.05189,766.6,20.11,15.7,129.3,0.1541,20.31,32.82,0.2902,0.3699,0.1414,40.98,1269.0,0.06593
0.1859,2.235,0.009937,585.9,15.27,13.78,97.9,0.03312,15.79,17.5,0.03517,0.3563,0.1072,29.34,706.6,0.01055
0.2677,2.097,0.02534,462.0,13.13,12.21,87.65,0.0914,14.09,19.29,0.3076,0.2666,0.1026,19.96,529.9,0.06839
0.3277,10.12,0.1377,773.5,19.85,15.66,143.7,0.2462,23.2,31.64,0.6181,1.292,0.1504,138.5,1226.0,0.3176
0.3792,3.564,0.06606,781.0,20.42,15.78,136.5,0.181,17.89,27.28,0.3965,0.5058,0.1396,54.16,1299.0,0.09954
0.2445,3.167,0.0,234.3,10.17,8.734,64.01,0.0,16.84,22.8,0.0,0.5169,0.146,28.85,317.0,0.0
0.321,1.303,0.01777,412.7,12.77,11.6,82.68,0.08288,18.36,24.02,0.186,0.1816,0.1342,12.89,495.1,0.03367
0.4045,5.173,0.1103,1194.0,22.75,19.68,157.6,0.2255,21.68,34.66,0.4734,0.6226,0.1218,67.66,1540.0,0.1863
0.2757,1.215,0.01667,279.6,10.51,9.567,65.74,0.07222,15.91,19.16,0.07161,0.2152,0.1504,12.64,335.9,0.01652
0.2894,4.895,0.08665,1077.0,22.25,18.66,145.4,0.1674,17.12,24.9,0.3272,0.7128,0.1503,90.47,1549.0,0.1457
0.2505,1.721,0.002924,489.0,13.5,12.58,85.56,0.008772,18.4,23.08,0.005579,0.2719,0.1038,22.45,564.1,0.00186
0.2792,4.533,0.05943,813.0,19.92,16.11,129.0,0.1216,18.05,25.27,0.2802,0.7049,0.1314,74.08,1233.0,0.09447
0.2639,2.393,0.0398,512.2,14.39,12.89,105.0,0.1561,14.11,17.7,0.7727,0.2025,0.1254,16.35,639.1,0.1374
0.3651,2.974,0.06759,595.9,16.01,13.82,106.0,0.1521,24.49,32.94,0.3381,0.4751,0.1794,39.05,788.0,0.1357
0.2727,3.021,0.03003,432.8,13.15,11.9,86.26,0.06042,14.65,16.51,0.0942,0.3962,0.1424,25.03,509.6,0.0371
0.1978,4.138,0.03515,431.1,13.36,11.76,85.1,0.0716,18.14,23.39,0.0612,0.645,0.1137,49.11,553.6,0.02685
